S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills,,,,,,,,,,,,,,,,,,,,
37,ePayLater,Software Engineer,Associate,,NA,Financial Services, Engineering Information Technology ,PostgreSQL Java HTML5 CSS Spring SQL,,,,,,,,,,,,,,,,,,,,
38,Neo-Bank,Technical Lead - Mobile,138 applicants,6,10,Internet, Engineering Information Technology ,C Angular,,,,,,,,,,,,,,,,,,,,
39,Prorigo Software Private Limited,Mobile Apps Developer,Entry level,2,4,Computer Software, Engineering Information Technology ,,,,,,,,,,,,,,,,,,,,,
40,Cornertree Productions,Mobile Frontend Developer - Xamarin/Flutter (2-4 yrs) Gurgaon/Gurugram (Mobile Applications),Entry level,,NA,Motion Pictures & Film, Engineering Information Technology ,C CSS JavaScript,,,,,,,,,,,,,,,,,,,,
41,HireTale,Unity Developer - Mobile & Console Game (1-6 yrs) Jaipur (Mobile Applications),Entry level,,NA,Human Resources, Engineering Information Technology ,,,,,,,,,,,,,,,,,,,,,
42,Tata CLiQ,Engineer,179 applicants,8,NA,Internet, Engineering ,Java Spring Hibernate SQL,,,,,,,,,,,,,,,,,,,,
43,Coda Global,Full Stack Engineer,255 applicants,2,6,Information Technology & Services, Engineering Information Technology ,C Java Python HTML5 JavaScript Angular React NodeJS,,,,,,,,,,,,,,,,,,,,
44,Knitter,Senior Android  Developer,745 applicants,,NA,Internet, Engineering Information Technology ,C,,,,,,,,,,,,,,,,,,,,
45,Khel Group,Software Engineer,56 applicants,,NA,Computer Games, Engineering Information Technology ,C Node.js HTML5 CSS SQL JavaScript Angular React,,,,,,,,,,,,,,,,,,,,
46,Khel Group,Software Engineer,56 applicants,,NA,Computer Games, Engineering Information Technology ,C Node.js HTML5 CSS SQL JavaScript Angular React,,,,,,,,,,,,,,,,,,,,
47,Focus Edumatics Pvt Ltd,Software Developer,Entry level,,NA,E-learning, Engineering Information Technology ,Oracle C C# Java Python HTML5 ASP.NET CSS SQL JavaScript React CSS3,,,,,,,,,,,,,,,,,,,,
48,Cyware Labs,SDET,Entry level,,NA,Computer & Network Security, Engineering Information Technology ,Java Python,,,,,,,,,,,,,,,,,,,,
49,Intuit,Senior IOS Developer,75 applicants,5,5,Computer Software, Engineering Information Technology ,,,,,,,,,,,,,,,,,,,,,
50,Jobs via eFinancialCareers,Software Engineering Java Full stack developer,Entry level,5,8,Staffing & Recruiting, Information Technology ,C Java CSS JavaScript Angular,,,,,,,,,,,,,,,,,,,,
51,Shadowfax,Android Developer,Entry level,2,NA,Logistics & Supply Chain, Engineering Information Technology ,Java,,,,,,,,,,,,,,,,,,,,
52,BukuKas,SDET,Entry level,5,NA,Internet, Engineering Information Technology ,,,,,,,,,,,,,,,,,,,,,
53,Astro-Vision Futuretech Pvt. Ltd.,Android Developer,155 applicants,2,4,Computer Software, Engineering Information Technology ,C SQL PHP,,,,,,,,,,,,,,,,,,,,
54,Rx365,Sr. Android Developer,Associate,4,NA,"Health, Wellness & Fitness", Engineering Information Technology ,SQL,,,,,,,,,,,,,,,,,,,,
55,BOLD,QA Engineer/ Sr.QA Engineer,Associate,2,6,Internet, Quality Assurance ,C C# Java SQL,,,,,,,,,,,,,,,,,,,,
56,Zscaler,Senior Software Engineer - Windows Developer,Associate,5,NA,Computer & Network Security, Engineering Information Technology ,C C# C++,,,,,,,,,,,,,,,,,,,,
