S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills
55,Seniorly,Software Development Engineer: Performance & Testing,Entry level,,NA,Internet, Engineering Information Technology ,Python AngularJS Golang Ruby AngularJS React
56,Arcesium,Software Engineer,Mid-Senior level,3,12,Information Technology & Services, Engineering Information Technology Finance ,Java Python
57,Harness,Staff Software Engineer,Mid-Senior level,7,3,Computer Software, Engineering Information Technology ,Java
58,Cerner Corporation,Associate Senior Software Engineer,Entry level,3,2,Information Technology & Services, Engineering Information Technology ,C++
59,Teradata,Software Engineer,Mid-Senior level,2,4,Information Technology & Services, Engineering ,SQL
60,Rocket Software,Software Engineer,Entry level,2,NA,Information Technology & Services, Engineering Information Technology ,
61,Hitachi Vantara,Software Developer,Entry level,8,15,Information Technology & Services, Engineering Information Technology ,Java Python
62,Qualys,Software Engineer,Entry level,3,NA,Computer & Network Security, Engineering Information Technology ,SQL
63,Intel Corporation,Compiler Engineer,Entry level,5,10,Semiconductors, Engineering Information Technology ,Python C++
64,Telstra,Senior Software Engineer,Mid-Senior level,,NA,Telecommunications, Information Technology ,
65,Tookitaki,Senior Software Engineer,Mid-Senior level,3,2,Computer Software, Consulting ,Spark SQL Scala
66,CGI,Microservice Developer,Entry level,1,8,Information Technology & Services, Engineering Information Technology ,Java Spring JavaScript Angular CSS3
67,Envestnet | Yodlee India,Big Data Developer,181 applicants,7,8,Computer Software, Engineering Information Technology ,Oracle Spark Java Python SQL Scala
68,Hotstar,Principal Software Development Engineer,Associate,10,NA,Internet, Engineering Information Technology ,
69,GMAC Intelligence,AI/ML Software Engineer,214 applicants,,NA,Computer Software, Engineering Information Technology ,Python C++
70,FreshVnF,Backend Developer,Entry level,,NA,Logistics & Supply Chain, Engineering Information Technology ,Python Ruby
71,GE Healthcare,Quality Assurance Engineer,Entry level,1,5,Hospital & Health Care, Quality Assurance ,Java Python Angular
72,Conviva,Lead Software Engineer in Test,Associate,9,NA,Internet, Engineering Information Technology ,Spark Java Python
