S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills,,,,,Keywords,Occurances,Column1,,,,,,,,,,,,,,,,,,,,,,
43,Oracle,Applications Developer 3,Associate,4,NA,Information Technology & Services,NA,Java SQL,,,,,Ethereum,0,0%,,,,,,,,,,,,,,,,,,,,,,
45,Oracle,Applications Developer 3,Associate,4,NA,Information Technology & Services,NA,Java CSS JavaScript,,,,,R3,0,0%,,,,,,,,,,,,,,,,,,,,,,
46,Barclays,Lead Developer,Associate,1,NA,Financial Services,NA,C Java Spring Hibernate SQL,,,,,Corda,0,0%,,,,,,,,,,,,,,,,,,,,,,
47,The Jurists,BlockChain Developer/Lead - Java/Spring/Hibernate (5-12 yrs) Delhi NCR/Gurgaon/Gurugram (Backend Developer),Associate,6000,3,Legal Services,NA,Java Spring SQL JavaScript NodeJS,,,,,Quorum,0,0%,,,,,,,,,,,,,,,,,,,,,,
49,India_India,Fullstack Application Developer,Entry level,,NA,Public Policy,NA,Java AngularJS CSS SQL JavaScript AngularJS React AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,NTT DATA Services,Senior Developer,Associate,4,NA,Information Technology & Services,NA,Python C++ SQL Ruby Azure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Vintronics Inc,Senior Platform Developer - Python/Shell Scripting - Telecom Domain (5-9 yrs) Bangalore (Backend Developer),Associate,5,8,Human Resources,NA,Python Azure AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Oracle,Applications Developer 3,Associate,4,NA,Information Technology & Services,NA,Oracle Java SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,IBM,Application Developer: Experience Front End,41 applicants,6,2,Information Technology & Services,NA,ReactJS Angular React,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Oracle,Applications Developer 4,Associate,7,NA,Information Technology & Services,NA,Oracle C Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Shaw Academy,Senior Backend Developer - Python/Node.js/Golang (8-13 yrs) Bangalore (Backend Developer),Associate,8,8,E-learning,NA,Python Golang NodeJS Golang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,UST Global,Senior Developer - Biztalk,26 applicants,2,2006,Information Technology & Services,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Oracle,Applications Developer 3,Associate,4,NA,Information Technology & Services,NA,Oracle C Spark Java SQL Scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Barclays,Application Developer,Associate,,NA,Financial Services,NA,Oracle C Java Spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Oracle,Applications Developer 4,Associate,7,NA,Information Technology & Services,NA,Java Spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Oracle,Applications Developer 3,Associate,4,NA,Information Technology & Services,NA,Oracle Java Azure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
