
S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills
63,Alation,DevOps and Security Engineer,Entry level,,NA,Computer Software,NA,C Python
64,WSP in India,Information Security Manager,216 applicants,10,12,Civil Engineering,NA,C
65,Mindsoft India,GCP Cloud Security Engineer - BigQuery/Data Pipeline (5-11 yrs) Bangalore (DevOps),Entry level,2,5,Staffing & Recruiting,NA,Oracle C Java Python SQL JavaScript
66,Danaher Corporation,Product Cybersecurity Engineer,261 applicants,,NA,Medical Device,NA,C
67,"Glan Management Consultancy- Career, Jobs, Hiring",Information Security Analyst - Cyber Security (1-3 yrs) Ghaziabad (DevOps),Associate,1,2,Staffing & Recruiting,NA,C
68,India_India,Penetration Tester,Entry level,1,5,Public Policy,NA,C Python Ruby
69,Lennox India Technology Centre,Senior Security Analyst - SIEM,337 applicants,6,NA,Mechanical Or Industrial Engineering,NA,C
70,Search Folks,ForgeRock Consultant - Identity Management (3-10 yrs) Bangalore (DevOps),Entry level,3,10,Staffing & Recruiting,NA,Java SQL JavaScript
71,SymphonyAI,DevOps Engineer,308 applicants,5,3,Venture Capital & Private Equity,NA,C Python
72,SonicWall,C Programmer/Developer (5-6 yrs) Networking/Network Security**,Entry level,5,NA,Computer & Network Security,NA,C
73,ABB,Senior Test Engineer,Mid-Senior level,4,8,Electrical & Electronic Manufacturing,NA,C
74,Codec Networks Pvt Ltd,VAPT Analyst Penetration Testing Vulnerability Assessment,Entry level,,NA,Computer & Network Security,NA,C Java Python PHP
75,GE Renewable Energy,Lead Firmware Developer,Associate,5,NA,Renewables & Environment,NA,C C++ JavaScript
76,Amazon Web Services (AWS),"Security, Risk & Compliance Specialist - II",Mid-Senior level,10,NA,Information Technology & Services,NA,C
77,Aptiv,FS Embedded  Software Developer,135 applicants,10,5,Electrical & Electronic Manufacturing,NA,C
78,PepsiCo,Director_Business Information Security Officer (BISO),425 applicants,15,NA,Food & Beverages,NA,C NA
79,Raisoni Group of Institutions,Software Architect,13 applicants,,NA,Education Management,NA,C Java
80,American LegalNet,"Senior Software Architect- Hyderabad, India",Mid-Senior level,4,8,Information Technology & Services,NA,C Node.js Angular
81,CBay Systems (I) Pvt. Ltd.,Ondot Systems - Assistant Manager - Information Security - CISA/CISM/CISSP (8-12 yrs) Bangalore/Chennai (DevOps),Entry level,,NA,Outsourcing/Offshoring,NA,C
82,Forcepoint,Requisition Specialist,Associate,0,2,Computer Software,NA,C
83,SailPoint,Technical Support Engineer,Entry level,3,NA,Computer Software,NA,Oracle C Java SQL JavaScript
84,Wipro Limited,Linux Administrator,157 applicants,,NA,Information Technology & Services,NA,Oracle
85,PKC Advisory,PKC Advisory - Consultant - Cyber Defense/Security - Contractual (3-8 yrs) Gurgaon/Gurugram,Associate,4,58,Management Consulting,NA,C
86,CyberQ Consulting,Urgent requirement for Software Engineer â€“ DevOps - Mumbai Location - 4years Exp,Entry level,91,9004445869,Information Technology & Services,NA,Python NA
87,F5,Product Owner II,Director,5,3,Information Technology & Services,NA,C
