S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills,,,,,,,,,,,,,,,,,,,,
44,Lucidworks,QA Automation Engineer (SDET),Entry level,5,NA,Computer Software,NA,C Java Python NA Golang,,,,,,,,,,,,,,,,,,,,
45,DigitalOcean,Customer Success Engineer,Entry level,,NA,Internet,NA,C Python SQL Ruby PHP,,,,,,,,,,,,,,,,,,,,
46,Wells Fargo,Senior Technology Specialist,Associate,6,2,Financial Services,NA,C NA SQL Angular,,,,,,,,,,,,,,,,,,,,
47,DigitalOcean,Customer Success Engineer,Entry level,,NA,Internet,NA,C Python SQL Ruby PHP,,,,,,,,,,,,,,,,,,,,
48,Lowe's India,Cloud Security Architecture  - Lead Engineer,Mid-Senior level,8,5,Retail,NA,C Python,,,,,,,,,,,,,,,,,,,,
49,Plivo,Software Development Engineer II - Voice/WebRTC Cloud Engineer,Entry level,5,8,Internet,NA,C Python C++ Golang C/C++,,,,,,,,,,,,,,,,,,,,
50,Angel Broking,Cloud Software Engineering Architect,Associate,117,1991,Financial Services,NA,C,,,,,,,,,,,,,,,,,,,,
51,Mindsoft India,GCP Cloud Security Engineer - BigQuery/Data Pipeline (5-11 yrs) Bangalore (DevOps),Entry level,2,5,Staffing & Recruiting,NA,Oracle C Java Python SQL JavaScript,,,,,,,,,,,,,,,,,,,,
52,VMware Carbon Black,Site Reliability Engineer,Entry level,6,6,Computer & Network Security,NA,C Python NA Ruby,,,,,,,,,,,,,,,,,,,,
53,Jobs via eFinancialCareers,Sr Cloud Engineer,Associate,5,NA,Staffing & Recruiting,NA,,,,,,,,,,,,,,,,,,,,,
54,WeInvest - Digital Wealth Platform,Lead Devops Engineer,140 applicants,5,NA,Investment Management,NA,C Python NA Ruby,,,,,,,,,,,,,,,,,,,,
55,SevenMentor Pvt Ltd,Senior AWS Architect Cloud Engineer,Associate,3,7,Computer Networking,NA,C Java Python NA SQL,,,,,,,,,,,,,,,,,,,,
56,Disc Technology Services Pvt. Ltd,Aera Technology - Senior Software Engineer,Associate,7,2,Computer Hardware,NA,Spark Java Python SQL JavaScript Angular React,,,,,,,,,,,,,,,,,,,,
57,VNB Consulting Services,Senior Azure Data Engineer,211 applicants,5,NA,Information Technology & Services,NA,,,,,,,,,,,,,,,,,,,,,
58,SymphonyAI,DevOps Engineer,306 applicants,5,3,Venture Capital & Private Equity,NA,C Python,,,,,,,,,,,,,,,,,,,,
59,Infor,Cloud Consultant - Job ID 9146,Associate,3,5,Computer Software,NA,C Java Python NA,,,,,,,,,,,,,,,,,,,,
60,Aktana,DevOps Engineer,Entry level,5,NA,Computer Software,NA,C Java Python NA SQL,,,,,,,,,,,,,,,,,,,,
61,ISO,Cloud Developer,Mid-Senior level,2,3,Insurance,NA,C Python SQL,,,,,,,,,,,,,,,,,,,,
62,"Ondot Systems, Inc.",Ondot Systems - Senior Cloud Security Engineer - Python/Ansible (8-12 yrs) Bangalore/Chennai,Associate,8,NA,Financial Services,NA,C Python,,,,,,,,,,,,,,,,,,,,
63,Infoblox,Senior Cyber Security Engineer,165 applicants,7,2,Computer & Network Security,NA,C Java Python JavaScript,,,,,,,,,,,,,,,,,,,,
64,EPAM Systems,Java Backend Engineer,Mid-Senior level,5,NA,Information Technology & Services,NA,C Java NA Spring SQL,,,,,,,,,,,,,,,,,,,,
65,NetApp,Solutions Engineer - Enterprise West,Entry level,6,3,Information Technology & Services,NA,C,,,,,,,,,,,,,,,,,,,,
66,Irdeto,Senior Software Engineer,49 applicants,,NA,Information Technology & Services,NA,C Java NA C++ C/C++,,,,,,,,,,,,,,,,,,,,
67,SquareRoot Consulting (Pty) Ltd,Senior/Staff Software Engineer - Data Platform (6-12 yrs) Bangalore (Backend Developer),Associate,6,NA,Information Technology & Services,NA,C Java SQL,,,,,,,,,,,,,,,,,,,,
68,Crestron Electronics,"Senior Azure PaaS Engineer, Cloud Operations",Mid-Senior level,5,NA,Electrical & Electronic Manufacturing,NA,C Python,,,,,,,,,,,,,,,,,,,,
69,ChargeBee Technologies Private Limited,Technical Architect - Platform Engineering,Associate,12,NA,NA,NA,Java,,,,,,,,,,,,,,,,,,,,
70,Talent Tigers,SDE/Principal Engineer/Software Development Engineer - Backend,Entry level,3,4,Outsourcing/Offshoring,NA,Oracle Java Golang Spring Hibernate SQL,,,,,,,,,,,,,,,,,,,,
71,TOMIA,Senior Cloud Specialist - Azure/AWS,Associate,10,5,Computer Software,NA,C,,,,,,,,,,,,,,,,,,,,
72,Mahindra Engineering,Azure Data Engineers,Entry level,30,4,Automotive,NA,SQL,,,,,,,,,,,,,,,,,,,,
73,Crossover for Work,"Support Escalation Engineer (Remote) - $100,000/year USD",27 applicants,100,5,Information Technology & Services,NA,Oracle C Java SQL,,,,,,,,,,,,,,,,,,,,
74,IBM,Senior Cloud Security Developer,Entry level,3,NA,Information Technology & Services,NA,C Java Python JavaScript,,,,,,,,,,,,,,,,,,,,
75,Alation,DevOps and Security Engineer,Entry level,,NA,Computer Software,NA,C Python,,,,,,,,,,,,,,,,,,,,
76,CommScope,Engineer Services,Entry level,25,5,Telecommunications,NA,Oracle C NA,,,,,,,,,,,,,,,,,,,,
77,TSYS,Test Analyst II (G2),Entry level,,NA,Financial Services,NA,C,,,,,,,,,,,,,,,,,,,,
78,Antal International,Devops Engineer,Entry level,4,6,Staffing & Recruiting,NA,PostgreSQL C Python SQL Ruby React,,,,,,,,,,,,,,,,,,,,
79,UnitForce Technologies Consulting Pvt Ltd,Azure Data Engineer,Entry level,2,NA,Information Technology & Services,NA,Spark,,,,,,,,,,,,,,,,,,,,
80,S&P Global,DevOps Engineer,143 applicants,6,NA,Information Services,NA,C Python,,,,,,,,,,,,,,,,,,,,
81,LambdaTest,LambdaTest - DevOps Engineer - Python/PowerShell (1-3 yrs) Noida (DevOps),Entry level,1,3,Computer Software,NA,PostgreSQL C Python SQL,,,,,,,,,,,,,,,,,,,,
82,Indee.tv,Android Developer,372 applicants,5,NA,Computer Software,NA,C Java,,,,,,,,,,,,,,,,,,,,
83,Altran,Network Consultant,Associate,4,NA,Information Technology & Services,NA,C,,,,,,,,,,,,,,,,,,,,
84,Innofied,DevOps Engineer,Entry level,,NA,Information Technology & Services,NA,C Java Python Node.js SQL JavaScript Ruby,,,,,,,,,,,,,,,,,,,,
